state,x,y
Sokoto,-153,177
Kebbi,-206,105
Zamfara,-146,129
Katsina,-41,153
Kano,-10,122
Jigawa,20,143
Yobe,117,156
Borno,196,126
Niger,-131,42
Kaduna,-66,67
Bauchi,27,58
Gombe,109,44
Adamawa,152,19
Taraba,59,-46
Plateau,42,7
Nasarawa,-24,-20
Abuja,-65,-5
Kwara,-181,-19
Oyo,-219,-29
Ogun,-235,-83
Lagos,-233,-112
Osun,-184,-68
Ekiti,-154,-54
Ondo,-169,-97
Kogi,-102,-52
Edo,-133,-115
Delta,-134,-161
Bayelsa,-130,-193
Anambra,-74,-119
Enugu,-51,-101
Ebonyi,-25,-128
Cross River,-20,-146
Imo,-69,-151
Abia,-46,-154
Rivers,-73,-212
Akwa Ibom,-30,-186
Benue,-1,-67